School Name,Address,Phone number
GURU NANAK HIGH SCHOOL,192/93 GANESH PETH PUNE - 02,-1
"HA SCHOOL 

uneDiary.com",PIMPRI PUNE - 18,-1
HADPASAR KARNABADHIR VIDYALAYA,235 HADPASAR PUNE,6811003
HILLGREEN SCHOOL,KONDHWA PUNE - 48,-1
HUTATMA RAJGURU VIDYALAYA,PANDAV NAGAR PUNE - 16,-1
HUTCHINGS HIGH SCHOOL,7 PHYARE RD PUNE - 01,6352764
IDEAL ENGLISH SCHOOL,507 SHANIWAR PETH PUNE - 30,-1
IMMANUEL MAR THOMAS ENGLISH SCHOOL,"ANAND PARK, VISHRANTWADI PUNE - 15",-1
INDIRA GANDHI HIGH  SCHOOL,263/1 LINK ROAD PUNE.,7455029
INDIRA GANDHI ENGLISH SCHOOL,NEHRU RD PIMPRI PUNE - 18,-1
JAI HIND HIGH SCHOOL,PIMPRI PUNE - 17,"7460785,7462273"
"JAIN VIDYALAYA 

uneDiary.com",NEAR SANGHAVI COLLEGE CHINCHWAD PUNE - 19,-1
JANATA ENGLISH MEDIUM PRIMARY SCHOO,826/7 DASTOOR MEHER RD PUNE - 01,-1
JAWAHARLAL EDUCATION SOC ENG SCHOOL,1 GOVARDHAN SOC PARVATI PUNE - 09,-1
JN PETIT TECHNICAL HIGH SCHOOL,28 BUND GARDEN ROAD PUNE - 01,6324104
"JOG SCHOOL 

uneDiary.com","MAYUR COLONY,KOTHRUD PUNE - 29",-1
JUDSON SCHOOL,21/1 PIMPRI PUNE - 18,-1
JYOTI ENGLISH SCHOOL,C 15 & 16 GERA ENCLAVE VIMAN NAGAR PUNE - 14,-1
JYOTI E NGLISH SCHOOL,NEHARU NAGAR PIMPRI PUNE,7423648
KALGUTKAR SURESH D,H/N-365 PHSG PUNE,6980991
KALMADI SHARMARAO HIGH SCHOOL,"55/57, DR KETKAR RD, ERANDWANE PUNE - 04",-1
KAMAL NAYAN BAJAJ SCHOOL,79 G BLOCK MIDC CHINCHWAD PUNE - 19,-1
KARAMVEER BHAURAO PATIL VIDYAMANDIR,DHANKAWADI PUNE - 43,-1
KARMAVEER BHAURAO PATIL VIDYALAYA,597 BUDHWAR PETH PUNE - 02,-1
KARMAVEER BHAUSAHED HIRAY HIGH SCH,LAXMI NAGAR PUNE - 09,-1
KARNATAKA HIGH SCHOOL,OFF KETKAR ROAD ERANDWANA PUNE - 04,-1
KARVE INSTT OF SOCIAL SVC,HILL SIDE KARVE NAGAR PUNE - 52,-1
KATARIA HIGH SCHOOL,GULTEKDI PUNE - 37 ,-1
KENDRIYA VIDYALAYA,CME PUNE,7145838
KENDRIYA VIDYALAYA PHONE : 7013826,3 CHANDAN NAGAR KHARADI PUNE,7013826
KENDRIYA VIDYALAYA,GANESH KHIND RD AUNDH PUNE - 07,-1
KENDRIYA VIDYALAYA PHONE : 7011697,NO 12 9 BRD AIR FORCE STATION PUNE - 32 ,-1
KENDRIYA VIDYALAYA ,TARAPORE ROAD PUNE - 01,6361737
KENDRIYA VIDYALAYA,IAT GIRINAGAR PUNE - 25,4389826
KENDRIYA VIDYALAYA,RANGE HILL PUNE - 28,-1
KENDRIYA VIDYALAYA,LOHGAON PUNE.,6689026
KENDRIYA VIDYALAYA,GIRI NAGAR SINHAGAD RD PUNE.,4388247 
KENDRIYA VIDYALAYA,KWSL PUNE,"5292953,5290092"
KIRTI VIDYALAYA,7/1 MANGAL SOCIETY 25 PCNTDA PUNE - 44,-1
KRISHNAJI KHANDUJI GHULE VIDYALAYA,MANJIRI BUDRUK MANJIRI SHOLAPUR PUNE - 28,-1
KRISHNAMURTI FOUNDATION,"84/2, BANER RD, AUNDH PUNE - 09",-1
LATE SOU LAXMIBAI RAJARAM SHINDE SCHOOL,ARANYESHWAR PUNE-09 PH:4225016,-1
LAXMIBAI SHINDE HIGH SCHOOL,SARANG SOC NEAR GAJANAN MAHARAJ PUNE - 09,-1
he Lexicon International School,"exicon Estate, Wagholi, Pune. Phone 27051818",-1
LIMAYA UMESH S ,DEVKI APT KOTHRUD PUNE.,381068 
LITTLE ROCK HIGH SCHOOL,SATARA ROAD PUNE.,4378717
LOYALA HIGH SCHOOL,FATHERS HOUSE PASHAN PUNE - 08,-1
LOYOLA HIGH SCHOOL,PASHAN ROAD PUNE - 08,-1
MAHADAJI SHINDE SCHOOL,WANOWARI PUNE - 40,-1
MAHALSAKANT SCHOOL & JUNIOR COLLEGE,"SECT NO.27, PRADHIKIRAN, AKURDI PUNE - 44",-1
MAHARASHTRA ENGLISH SCHOOL,382/383 RASTA PETH PUNE-11,6138804
MES BAL SHIKSHAN MANDIR- ENGLISH MEDIUM,KOTHRUD PUNE.,5435733
MES RENUKA SWAROOP MEMORIAL GIRLS,1453/54 SADASHIV PETH PUNE - 30,-1
MES SOC ALLNA INST OF INFORM TECH,AZAM COMPLEX CAMP PUNE.,6433903
MHATOB TUKRAM BALWADKAR VIDYALAYA,4/2/3 BLDW GAON PUNE.,7290487
MILITARY FARM HIGH SCHOOL,NEAR HE FACTORY KHADKI PUNE - 03,-1
"
MILLENNIUM NATIONAL SCHOOL","18, HILL SIDE, KARVENAGAR, PUNE - 411052",-1
MJ PHULE HIGH SCHOOL ADAMBAG,637 SADASHIV PETH PUNE - 30,-1
MODERN HIGH SCHOOL,J M ROAD PUNE - 05,-1
MODERN V SCHOOL,503 SHANIWAR PETH TILAK RD PUNE - 30,-1
MOLEDINA HIGH SCHOOL,133A SAIFEE STREET PUNE,6134864
MOLEDINA HIGH SCHOOL,"SHANEKERSHETH RD,PUNE - 01",-1
MOUNT CARMEL CONVENT HIGH SCHOOL,LULLANAGAR PUNE - 40,-1
"MSS HIGH SCHOOL PHONE :7440864,7455389",SHRIDHAR NAGAR CHINCHWAD PUNE - 33 ,-1
MUKTANGAN ENGLISH SCHOOL,SAHAKAR NAGAR PUNE - 26,-1
MUNCIPAL TECHNICAL SCHOOL,625 SHUKRAWAR PETH PUNE - 02,-1
NANDADEEP VIDYALAY,272 PARVATI PUNE,4442309
NANDADEEP VIDYALAY,191-A LOOP ROAD YERWADA PUNE - 09 ,-1
NANDADEEP EDN SOCY ,NANDADEEP SHALA PARVATI PUNE.,4444521
NARHAR GHARPURE HIGH SCHOOL,1389 SHUKRAWAR PETH PUNE - 02,-1
NARSINHA HIGH SCHOOL,SANGHAVI TALUKA SANGHAVI PUNE - 27,-1
NATIONAL MODEL SCHOOL,SHIVANE PUNE - 04,-1
NAVBHARAT HIGH SCHOOL,SHIVANE PUNE - 04,-1
NAVIN HIND / BT SHAH HIGH SCHOOL,"774, BHAWANI PETH PUNE - 42",-1
NAVIN HIND HIGH SCHOOL,2 TADIWALA RDPUNE - 01,6121273
NAVIN MARATHI SCHOOL,588 RASTA PETH PUNE - 11,6336242
NAVIN MARATHI SHALA,342 SHANIWAR PETH PUNE - 30,-1
NAV MAHARASHTRA SHIKSHAN SANS  ,3/16 NR HILL TOP SOC PUNE.,4375850
"NCL HIGH SCHOOL 

uneDiary.com",NCL CAMPUS PUNE - 08,-1
NETAJI SUBHASHCHANDRA BOSE VIDYLAYA,380 D BHAWANI PETH PUNE - 06,-1
